,2016/06/30 19:00:01,2016/06/30 19:01:01,2016/06/30 19:02:01,2016/06/30 20:00:01,2016/06/30 20:01:01,2016/06/30 20:02:01,2016/06/30 21:00:01,2016/06/30 21:01:01,2016/06/30 21:02:01
TARGET
Dizzy,1100,1100,1100,1120,1121,1121,1140,1141,1141
,20,20,20,20,20,20,20,20,20
,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
ALL
246位,464,464,464,472,473,473,484,484,484,アオハライド☆彡
247位,463,463,463,472,472,473,483,483,484,KMコミュニティ
248位,462,463,463,472,472,472,483,483,484,グラン・シャリオ
249位,462,463,463,471,471,471,483,483,483,☆Ｓロード☆
250位,462,462,462,471,471,471,482,483,483,☆ＳＴＹ☆
251位,461,462,462,471,471,471,482,482,483,ぷよぷよ艦隊
252位,461,461,461,470,471,471,481,481,481,ふぁくとり～♪
253位,461,461,461,470,470,471,481,481,481,_Nadja
254位,461,461,461,470,470,470,481,481,481,会話なしギルド
255位,461,461,461,470,470,470,480,481,481,ふぇんりる
256位,461,461,461,469,470,470,480,480,481,しろぷよ♪
257位,461,461,461,469,469,470,480,480,480,蒼天ぷよ
258位,460,460,460,469,469,469,480,480,480,虹-niji-
259位,460,460,460,469,469,469,479,479,479,おのゴリちゃん
260位,460,460,460,469,469,469,479,479,479,asoVIVA
261位,460,460,460,469,469,469,479,479,479,みすてりあす。
262位,459,459,459,469,469,469,478,479,479,Fate#Ω#
263位,459,459,459,469,469,469,478,478,478,美味しい紅茶の泉
264位,459,459,459,469,469,469,478,478,478,鎌倉幕府
265位,459,459,459,469,469,469,477,477,477,参加は自由でした
266位,458,458,458,469,469,469,476,476,477,ドリームポポ♪
267位,457,457,457,467,468,468,476,476,477,楽ぷよＣＬＵＢ
268位,456,457,457,467,467,467,476,476,476,ゴルゴ11
269位,456,457,457,466,466,466,475,476,476,21時投入ぽすて
270位,456,456,456,466,466,466,475,475,475,ＬＥ－ＣＩＥＬ
271位,456,456,456,464,464,465,475,475,475,_
272位,455,456,456,464,464,464,474,475,475,きなこもち＊
273位,455,455,455,464,464,464,474,474,474,元気ハツラツ！
274位,455,455,455,464,464,464,474,474,474,ポレポレ村熊番地
275位,454,454,455,464,464,464,474,474,474,あっき祝800
276位,453,454,454,463,464,464,472,473,473,みるふぃーゆ♪
277位,453,453,454,463,463,464,471,471,471,ここ(*≧艸≦)
278位,452,453,453,463,463,463,470,470,470,tiipo
279位,452,453,453,461,461,462,470,470,470,HOKKAIDO
280位,452,452,452,461,461,461,469,469,469,黄色鳥OP大作戦
281位,451,451,451,461,461,461,469,469,469,藤原豆腐店
282位,451,451,451,460,460,461,469,469,469,ぷーぷよギルド
283位,451,451,451,460,460,460,469,469,469,超初心者ポコリン
284位,451,451,451,460,460,460,469,469,469,(_ω)о〇
285位,450,450,451,459,460,460,469,469,469,青空団♪
286位,450,450,450,459,459,460,469,469,469,UNICORN
287位,450,450,450,459,459,460,469,469,469,新生ぴょんすの会
288位,449,449,450,459,459,459,469,469,469,★リトルスター★
289位,449,449,449,459,459,459,469,469,469,_ほうきぼし
290位,449,449,449,459,459,459,469,469,469,ミカン
291位,449,449,449,459,459,459,468,469,469,おいもいも
292位,448,448,448,459,459,459,468,468,468,既製ぷよ@隠居
293位,448,448,448,459,459,459,467,467,468,Sirius
294位,448,448,448,459,459,459,467,467,467,ゆるくやろう
295位,448,448,448,458,459,459,467,467,467,オールフォーワン
296位,445,445,445,458,458,458,467,467,467,七色きかちゅう
297位,445,445,445,457,457,458,466,467,467,ねこのうにメロン
298位,445,445,445,457,457,457,465,466,466,寝ながら進む。
299位,444,445,445,456,456,456,465,465,466,ブラザーフット
300位,444,444,444,455,455,456,465,465,465,ぷよ☆黄色連合♪
301位,444,444,444,455,455,455,465,465,465,赤い彗星のニャア
302位,443,444,444,454,454,454,464,464,464,まろん茶
303位,443,443,444,453,453,454,463,463,463,＊みるふぃーゆ＊
304位,442,442,443,452,453,453,463,463,463,ニャンコさん
305位,442,442,442,451,452,452,462,462,462,碧い鳥
306位,441,441,441,451,451,451,461,461,461,まちょー
307位,440,440,441,451,451,451,460,461,461,ラフィーナ連邦
308位,440,440,440,450,450,450,459,460,460,こんぱいるクラブ
309位,440,440,440,449,449,449,459,459,460,錬金術協会
310位,440,440,440,449,449,449,459,459,459,新生メタファリカ
311位,439,439,440,449,449,449,459,459,459,毎日猫をもふり隊
312位,439,439,439,449,449,449,459,459,459,猪突猛進
313位,439,439,439,448,448,449,459,459,459,ex-☆
314位,439,439,439,447,447,448,459,459,459,まいぺぃす
315位,438,438,438,447,447,448,459,459,459,ピルクル500
316位,438,438,438,447,447,447,459,459,459,甘いのが好き
317位,437,437,437,447,447,447,458,458,458,ちーむ★ぷよ
318位,436,436,437,446,447,447,458,458,458,文化の森
319位,436,436,437,446,446,446,458,458,458,毒ぽてと
320位,435,435,436,445,445,446,458,458,458,魔法細工
321位,435,435,435,445,445,446,457,457,458,水パ
322位,433,433,434,444,444,444,455,455,455,HKL
323位,433,433,434,444,444,444,454,455,455,ぷよぷよクエスド
324位,433,433,434,444,444,444,453,454,454,オワニモ時空転移
325位,432,432,433,442,442,443,453,453,454,ブレイブハウス
326位,432,432,432,442,442,443,453,453,453,足元がお留守です
327位,432,432,432,442,442,442,451,452,452,真☆碧茶
328位,431,431,431,442,442,442,451,452,452,ルイーダの酒場
329位,431,431,431,440,440,440,451,451,451,秘密のお菓子工房
330位,431,431,431,440,440,440,451,451,451,joyfull☆
TARGET
BORDER
1位,1141,1141,1141,1141,1141,1141,1141,1141,1141
,,,,,,,,,
,,,,,,,,,
10位,875,875,875,875,875,875,875,875,875
,,,,,,,,,
,,,,,,,,,
30位,710,710,710,710,710,710,710,710,710
,,,,,,,,,
,,,,,,,,,
300位,465,465,465,465,465,465,465,465,465
,,,,,,,,,
,,,,,,,,,
1000位,313,313,313,313,313,313,313,313,313
,,,,,,,,,
,,,,,,,,,
3000位,196,196,196,196,196,196,196,196,196
,,,,,,,,,
,,,,,,,,,
10000位,70,70,70,70,70,70,70,70,70
,,,,,,,,,
,,,,,,,,,
30000位,8,8,8,8,8,8,8,8,8
,,,,,,,,,
,,,,,,,,,
50000位,0,0,0,0,0,0,0,0,0
,,,,,,,,,
,,,,,,,,,
80000位,0,0,0,0,0,0,0,0,0
,,,,,,,,,
,,,,,,,,,
100000位,0,0,0,0,0,0,0,0,0
,,,,,,,,,
,,,,,,,,,
200000位,0,0,0,0,0,0,0,0,0
,,,,,,,,,
,,,,,,,,,
500000位,0,0,0,0,0,0,0,0,0
,,,,,,,,,
,,,,,,,,,
